"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"204",="3169","亞信","108","+2.5","+2.37","2.72","32.68","2.41","28.9","93.7","100","90","99.5","117","124","84.7","96.8","88.9","80.2","82","78.9","82.6"
"205",="3454","晶睿","199","+2.5","+1.27","5.76","69.08","4.29","51.53","74.4","76.4","74.8","70.5","86.8","78.2","76.1","80.6","70.2","78.4","69","64.5","67.8"
"206",="3617","碩天","251.5","+16.5","+7.02","6.33","75.91","4.37","52.43","73.3","93.5","74.6","74.7","75.1","60.4","52.7","70.3","47.6","138","97.9","27.1","67.1"
"207",="5287","數字","207.5","+0.5","+0.24","14.57","174.8","12.6","151.2","90.4","88.5","91.1","79.7","110","101","115","103","89","90.5","81.4","53","81.9"
"208",="5534","長虹","79.3","-0.2","-0.25","9.69","116.3","5.86","70.32","69.4","59.9","122","34.4","62.3","116","61.9","59.2","48.8","57.6","55.4","100","56"
"209",="6147","頎邦","65.3","+0.4","+0.62","5.12","61.42","3.28","39.35","64.5","66.4","60","62.8","65.8","65.8","68.4","67.7","50.4","66.9","67.7","66.7","65.4"
"210",="6206","飛捷","72.5","0","0","5.97","71.59","5.06","60.76","85.2","76.1","71.7","94.8","88.9","85.5","83.1","88.9","89.3","87.4","97.1","83.9","75.4"
"211",="6525","捷敏-KY","70.3","-0.1","-0.14","6.02","48.15","4.39","35.1","72.6","","","","","56.7","68.7","68","75.8","68","84.7","82.7","76.3"
"212",="6716","應廣","102","-1","-0.97","6.39","31.93","4.95","24.73","78.4","","","","","","","","75.8","76.4","92.4","73.8","73.6"
"213",="6782","視陽","185","+3.5","+1.93","8.18","24.53","3.35","13.4","56.8","","","","","","","","","34.5","","36.8","99.1"
"214",="6830","汎銓","175","-0.5","-0.28","5.64","16.93","4.17","12.5","72.2","","","","","","","","","","61.7","72.5","82.5"
"215",="3017","奇鋐","293.5","+5.5","+1.91","3.5","42.02","1.74","20.92","63.6","49.8","211","57.1","48.5","47.6","49.4","51.8","49.8","48","51.7","52.4","46"
"216",="2428","興勤","167","+2","+1.21","7.21","86.52","3.55","42.6","49.2","50.6","56.5","49.9","43.1","46.3","46.9","47.2","49.5","48.2","50.9","51.2","50.4"
"217",="6829","千附精密","114.5","-1.5","-1.29","6.06","12.13","4.82","9.65","79.5","","","","","","","","","","","70.6","88.4"
"218",="1342","八貫","116","+1.5","+1.31","4.37","17.49","3.34","13.37","77.6","","","","","","","","","81.2","79.4","76.5","73.1"
"219",="3217","優群","141.5","+9","+6.79","3.43","41.15","2.78","33.4","83.1","70.8","73.5","105","85","90.1","86.6","87","83.3","80.5","77.8","78.8","78.7"
"220",="2317","鴻海","109.5","+2.5","+2.34","8.55","102.7","3.88","46.5","44.8","32.7","31.2","36.8","48.6","53.1","52.3","25","49.8","50.5","54.5","51.7","51.9"
"221",="2755","揚秦","142.5","+2.5","+1.79","3.88","19.38","2.7","13.52","67","","","","","","","","71.6","28.7","51.3","82.2","101"
"222",="6419","京晨科","45.7","+0.95","+2.12","0.76","8.34","1.42","15.65","30.1","","65.7","89.1","79.4","0","0","0","0","0","0","0","97.2"
"223",="4580","捷流閥業","98","+0.4","+0.41","7.47","37.33","4.76","23.78","63.3","","","","","","","","54.9","62.5","67.7","64.9","66.4"
"224",="1436","華友聯","66.4","0","0","2.64","31.72","2.15","25.79","50.3","0","0","0","56.1","-182","175","95.2","89.3","102","106","81.8","78.6"
