"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"640",="6584","南俊國際","71.2","-1.3","-1.79","0.21","","","","1.1","0.45","-0.09","-0.31","-0.05","0.5","-0.29","-0.28","0.88","-0.02"
"641",="2455","全新","117","-3","-2.5","0.06","","-0.09","0.32","0.4","0.2","-0.29","-0.35","0.25","-0.2","-0.4","-0.04","0.88","-0.06"
"642",="5328","華容","14.45","-0.35","-2.36","0.11","0.66","-0.81","0.35","-1","0.51","0.34","-0.28","0.29","0.09","0.05","0.22","0.88","-0.03"
"643",="8182","加高","31.1","+0.3","+0.97","0.1","0.33","-0.17","0.14","0.38","0.24","-0.41","-0.27","0.1","0.18","-0.25","0.01","0.87","-0.06"
"644",="1813","寶利徠","21.1","+0.25","+1.2","0.52","0.1","0.54","0.76","0.86","0.73","0.45","0.16","0.74","0.48","0.31","0.29","0.87","0.16"
"645",="6245","立端","109","-2","-1.8","0.61","0.35","0.21","0.51","1","0.87","0.71","-0.06","0.49","0.34","1.69","0.38","0.87","-0.03"
"646",="1506","正道","18.1","+0.05","+0.28","-0.04","0.04","-0.12","-0.1","-0.22","-0.02","-0.15","-0.4","0.55","-0.93","-0.63","0.69","0.87","0.12"
"647",="6139","亞翔","64","+0.3","+0.47","1.72","1.97","1.31","0.74","0.97","1.39","-0.03","1.89","0.66","5.64","4.02","1.21","0.87","1.1"
"648",="5299","杰力","128","-3","-2.29","0.1","","-0.11","0.11","0.19","0.08","0","-0.12","0.28","0.01","-0.23","0.03","0.86","0.21"
"649",="3689","湧德","49.45","+1.25","+2.59","0.38","0.27","0.11","0.1","0.09","0.67","0.59","0.25","0.36","0.3","0.45","0.52","0.86","-0.03"
