"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"1377",="4911","德英","72.8","-1.9","-2.54","0.1","","0.12","0.27","0.2","0.2","0.12","0.04","0.05","0.01","0.02","0.01","0.02","0"
"1378",="5703","亞都","30.2","-1","-3.21","0.06","-0.02","0.04","0.17","0.04","0.08","-0.08","0.01","0","0.04","0.22","0.16","0.02","0"
"1379",="6865","偉康科技","81.5","-1.6","-1.93","0.05","","","","","","","","","-0.01","0.11","0.09","0.02","0.01"
"1380",="6877","鏵友益","42","-1.4","-3.23","0.02","","","","","","","","","0","0.09","-0.01","0.02","0"
"1381",="8277","商丞","12.6","-0.4","-3.08","-0.03","-0.14","-0.29","0.15","0.3","-0.04","-0.14","-0.18","0.01","0.05","0.02","-0.08","0.02","-0.06"
"1382",="4712","南璋","3.92","-0.03","-0.76","-0.21","1.46","0.44","-2.12","-0.54","-0.32","-0.34","-0.07","0.09","-0.39","-0.45","-0.35","0.01","-0.08"
"1383",="3073","天方能源","39.65","-0.35","-0.88","-0.41","0.06","-4.36","0.6","-0.34","0.19","0.02","-0.05","0.05","-0.5","-0.09","-0.52","0.01","-0.02"
"1384",="3002","歐格","14.45","-0.4","-2.69","0.33","0.07","0.2","0.37","0.56","0.24","0.35","0.53","0.18","0.57","0.6","0.32","0.01","-0.13"
"1385",="4127","天良","14.55","-0.4","-2.68","-0.09","-0.15","-0.17","-0.12","-0.07","-0.1","-0.22","-0.02","-0.31","0.02","0.02","0.06","0.01","-0.01"
"1386",="5905","南仁湖","13.5","+0.1","+0.75","0.27","1.3","-0.84","0.95","0.64","-0.38","-0.39","-0.26","0.59","0.23","0.7","0.64","0.01","0.06"
"1387",="8403","盛弘","38.5","-0.5","-1.28","0.26","0","0.13","0.14","0.16","1.41","0.07","-0.14","0.99","0.61","-0.33","0.09","0.01","0.06"
"1388",="9955","佳龍","23.35","-0.45","-1.89","-0.07","0.23","-0.18","0.09","0.03","-0.06","-0.07","-0.14","-1.17","0.46","0.06","-0.12","0.01","-0.03"
"1389",="3188","鑫龍騰","15","-0.05","-0.33","-0.03","0.09","-0.08","0.04","0.13","0","-0.05","-0.11","-0.16","-0.05","-0.16","-0.07","0.01","0"
"1390",="2033","佳大","14.75","-0.05","-0.34","0.06","","0.22","-0.01","-0.18","-0.05","0.14","-0.04","0.04","0.43","0.05","0.04","0.01","0"
"1391",="5508","永信建","69.4","+0.9","+1.31","0.02","0.13","0.02","0.03","0.02","0.01","0.01","0.02","0","0.01","0","0","0","0"
"1392",="4304","勝昱","9.44","+0.04","+0.43","0.1","-0.05","0.13","-0.09","0.01","-0.04","-0.03","-0.19","-0.08","-0.28","-0.1","1.93","0","-0.02"
"1393",="3122","笙泉","27","-0.4","-1.46","0.06","-0.01","0.06","0.08","0.21","0.1","-0.01","0.07","0.12","0.02","0.03","0.06","0","-0.01"
"1394",="9949","琉園","16.35","+0.95","+6.17","0.05","0.02","0.03","0.15","0.15","-0.01","0.03","0.01","0.07","0.04","0.12","0.04","0","0"
"1395",="8463","潤泰材","25.7","0","0","-0.22","","","0.28","-0.28","-0.11","-0.12","-0.16","-0.07","-0.09","-0.05","-1.54","0","-0.13"
"1396",="8038","長園科","51.3","-0.1","-0.19","-0.08","","-0.15","-0.05","0.12","0.36","0","-0.59","-0.66","-0.01","0.15","-0.06","0","-0.01"
"1397",="6103","合邦","37.7","0","0","-0.05","0.01","-0.01","0.01","0","0.13","-0.17","-0.07","-0.2","-0.15","-0.29","0.08","0","0"
"1398",="4419","元勝","27.5","-1.55","-5.34","-0.02","","-0.01","-0.49","-0.15","-0.37","0","0.82","0.01","0.01","-0.31","0.25","0","-0.08"
"1399",="2430","燦坤","43.3","-0.05","-0.12","-0.59","0.29","0.1","-0.3","-0.02","-1.85","-1.07","-2.26","-0.68","-1.01","-0.32","0","0","-0.02"
"1400",="2852","第一保","16.15","-0.05","-0.31","-0.01","","0","-0.01","0","0","-0.01","0","-0.01","-0.01","-0.02","-0.01","0","0"
"1401",="2832","台產","22.15","-0.05","-0.23","0.06","0.11","0.33","0.07","0.08","0.37","-0.02","-0.24","0.07","-0.06","0.03","-0.04","0","-0.01"
"1402",="4747","強生","112","+2.5","+2.28","0.03","","0.1","0","0.03","0.04","0.02","0.05","0.02","0.03","0.01","0","0","0"
"1403",="3508","位速","31.15","-0.75","-2.35","0.3","0.62","0.27","0.64","-0.17","-0.48","-1.01","0.07","1.46","-0.21","1.83","0.57","0","0.27"
"1404",="3664","安瑞-KY","34.5","0","0","0.17","0.48","0.33","0.76","0.32","-0.12","-0.01","0.04","0.04","0.06","-0.13","0.22","0","0.01"
"1405",="8932","宏大","65.1","+0.1","+0.15","0.16","0","-0.24","-0.14","0.03","-0.14","-0.33","-0.27","3.51","-0.14","-0.13","-0.23","-0.01","-0.03"
"1406",="1338","廣華-KY","43.55","-0.6","-1.36","0.5","0.41","0.64","1","-0.17","0.74","-0.46","0.55","-0.19","-0.16","1.62","1.98","-0.01","-0.46"
"1407",="6593","台灣銘板","77.3","+1.6","+2.11","-0.03","","","","-0.05","-0.05","-0.05","-0.05","0.01","-0.01","-0.01","-0.03","-0.01","-0.01"
"1408",="6225","天瀚","9.12","0","0","0.11","0.76","0.17","0.1","-0.04","0.17","0.06","0.05","0.02","0.05","0","0","-0.01","0"
"1409",="2937","集雅社","33.45","-0.3","-0.89","0.01","","","","0.01","0.02","-0.18","-0.05","0.17","0.11","0.04","0.02","-0.01","0.01"
"1410",="3686","達能","14.95","-0.05","-0.33","-1.16","","-0.63","-0.73","0.05","0.08","0.04","-0.01","-9.86","0.24","-0.88","-1.09","-0.01","0.02"
"1411",="2493","揚博","65.1","-0.9","-1.36","0.06","","0.38","0.38","0.39","0.39","0.01","-0.15","0.05","-0.45","-0.02","-0.29","-0.01","-0.01"
"1412",="5212","凌網","46.3","-0.5","-1.07","-0.03","-0.09","0.02","-0.04","-0.02","-0.13","-0.04","-0.09","0.03","-0.04","0.01","0.01","-0.01","-0.02"
"1413",="6241","易通展","14.5","-0.2","-1.36","0.04","0.07","-0.02","0.12","0.1","0.08","0.06","-0.07","0.04","-0.01","0.09","0.06","-0.01","-0.04"
"1414",="1727","中華化","33.85","-0.45","-1.31","0.04","-0.07","-0.11","-0.02","0.01","-0.04","0.21","0.02","0.17","0.13","0.08","0.06","-0.01","0"
"1415",="6212","理銘","48.1","0","0","-0.05","","-0.17","0.02","0.01","-0.22","-0.18","-0.01","0.07","0","0","-0.01","-0.01","0"
"1416",="3095","及成","23.95","-0.6","-2.44","-0.49","-1.54","-2.8","-2.8","-1.23","1.02","1.47","0.03","0.22","-0.05","-0.16","-0.02","-0.01","-0.06"
"1417",="6629","泰金-KY","48","0","0","0.08","","","","","","0.05","0.25","0.1","0.16","0.13","-0.12","-0.02","-0.03"
"1418",="8114","振樺電","110","-3","-2.65","-0.32","0.12","-0.14","0.2","0.47","0.27","-0.86","1.57","2.15","-2.6","-2.55","-2.47","-0.02","-0.43"
"1419",="2414","精技","36.15","-0.1","-0.28","0.03","0.07","0.15","0.08","0.1","-0.11","0.02","0.01","0.02","0.05","-0.01","-0.05","-0.02","-0.06"
"1420",="5519","隆大","25.1","0","0","0.15","-0.01","-0.01","0.21","-0.05","0.06","0.36","0.75","0.14","0.13","0.23","0.02","-0.02","-0.01"
"1421",="3570","大塚","128.5","-0.5","-0.39","0.02","0.03","0.03","0","0","-0.03","0.05","0.03","0.02","0.03","0.02","0.02","-0.02","0.01"
"1422",="8908","欣雄","69.7","0","0","-0.02","","-0.07","-0.03","-0.03","-0.07","-0.01","-0.03","-0.01","-0.03","0.12","-0.02","-0.02","-0.02"
"1423",="8291","尚茂","6","+0.37","+6.57","-0.02","","-0.28","0.27","0.03","0.01","-0.01","-0.06","-0.01","-0.22","0.05","0.03","-0.02","-0.01"
"1424",="2404","漢唐","223.5","-2","-0.89","3.1","1.42","0.83","3.11","4.33","5.21","2.37","1.35","6.65","3.22","4.61","4.16","-0.02","0.98"
"1425",="6491","晶碩","371.5","-10.5","-2.75","-0.04","","","0.15","0.1","0.17","-0.02","0.1","-0.31","-0.31","-0.11","-0.16","-0.03","-0.11"
"1426",="4513","福裕","18.8","-0.3","-1.57","0.13","0.04","-0.03","0.23","0.04","1.51","-0.25","0","0.03","-0.04","-0.02","0.06","-0.03","-0.08"
"1427",="3484","崧騰","43.7","-0.25","-0.57","-0.04","0.27","-0.17","0.15","0.2","0.1","-0.32","-0.1","-0.05","-0.14","-0.32","-0.11","-0.03","0.01"
"1428",="4979","華星光","139.5","+12.5","+9.84","-0.01","0","0.04","0.15","0.2","0.4","-0.4","-0.62","-0.01","0.17","0.8","-0.79","-0.03","-0.01"
"1429",="4564","元翎","30","-0.2","-0.66","-0.23","","","","-0.27","0.47","-0.41","-0.41","-0.19","-0.53","-0.18","-0.5","-0.03","-0.07"
"1430",="3287","廣寰科","23.95","+0.4","+1.7","0.09","0.12","-0.05","0.14","0.27","0.15","0.03","0.02","0.07","0.02","0.15","0.19","-0.03","0.15"
"1431",="6728","上洋","149","-2","-1.32","0.13","","","","","","","0.01","-0.03","0.87","-0.01","-0.05","-0.03","-0.02"
"1432",="4907","富宇","34.95","+0.1","+0.29","-0.02","","0.01","0.17","0","0.01","-0.05","-0.12","-0.12","-0.08","-0.01","-0.04","-0.03","-0.01"
"1433",="4440","宜新實業","30.45","+0.25","+0.83","0.02","","","","","","","0.06","0.1","-0.05","-0.08","0.14","-0.03","-0.01"
"1434",="3284","太普高","17.6","+0.65","+3.83","0.11","-0.02","0.11","-0.03","0.02","0.62","0.39","0.94","0.32","-0.18","-0.67","-0.12","-0.03","-0.03"
"1435",="2712","遠雄來","40","+0.05","+0.13","0.01","","-0.13","-0.06","0","0.03","0.04","0.01","-0.01","0","0.15","0.18","-0.03","0.02"
"1436",="2024","志聯","17.8","+0.1","+0.56","-0.13","-0.32","-0.21","-0.21","-0.03","-0.1","-0.14","-0.16","-0.07","-0.15","-0.05","-0.04","-0.04","-0.05"
"1437",="6661","威健生技","22.9","-0.2","-0.87","0.06","","","","0.51","0.1","-0.06","0","-0.02","0.01","0.02","0.02","-0.04","0"
"1438",="6227","茂綸","43.95","-0.3","-0.68","-0.03","-0.07","0.02","0.1","0.05","-0.09","0.03","0.17","-0.35","-0.23","-0.01","0.09","-0.04","-0.12"
"1439",="3632","研勤","15.95","+0.2","+1.27","0.02","0.14","-0.1","0.08","0.1","-0.09","-0.04","0.1","-0.05","-0.3","-0.77","1.17","-0.04","-0.01"
"1440",="1611","中電","19.55","-0.8","-3.93","-0.07","-0.8","-4.85","-3.75","-3.62","-0.25","-8.42","8.42","1.37","8.25","0","2.88","-0.04","0.21"
"1441",="2429","銘旺科","20.7","+0.5","+2.48","0.05","","1.61","-0.07","-0.04","-0.34","0.06","-0.18","-0.12","-0.52","0.18","0.04","-0.04","-0.03"
"1442",="6603","富強鑫","16.95","-0.15","-0.88","0.45","0.46","0.24","0.65","0.72","0.1","0.88","0.64","0.72","0.36","0.54","0.17","-0.04","0.1"
"1443",="6118","建達","31.6","-0.5","-1.56","0.11","0.15","0.19","0.11","0.11","0.41","0.06","0.04","-0.05","0","0.07","0.28","-0.04","0.06"
"1444",="6281","全國電","86.6","0","0","0.17","","0.41","0.32","0.35","0.33","0.2","0.21","0.37","-0.07","-0.11","-0.06","-0.04","-0.02"
"1445",="1471","首利","18.4","+0.6","+3.37","0.49","0.38","-0.91","0.62","1.06","0.08","-0.31","-1.07","0.04","-0.42","5.25","1.23","-0.05","0.22"
"1446",="6874","倍力","137.5","+0.5","+0.36","-0.03","","","","","","","","","-0.01","-0.02","-0.04","-0.05","-0.01"
"1447",="8092","建暐","12.2","-0.3","-2.4","0.02","0","0","0.06","0.03","0","0.03","0.1","0.05","-0.03","0.09","-0.01","-0.05","-0.01"
"1448",="1788","杏昌","142","-1","-0.7","0.24","0.21","0.78","0.41","0.19","0.31","0.17","0.31","0.13","0.1","0.18","0.19","-0.05","0.07"
"1449",="4523","永彰","52.6","-3.2","-5.73","0.51","1.77","0.26","0.88","0.87","0.29","1.06","0.07","0.56","-0.2","-0.13","0.74","-0.05","1.72"
"1450",="3092","鴻碩","38.15","-0.5","-1.29","-0.03","0.31","-0.12","-0.09","-0.14","-0.22","-0.06","-0.03","0.05","0.02","0.02","0","-0.05","0.08"
"1451",="5310","天剛","28.25","+0.65","+2.36","-0.11","0.03","0.17","0.21","0","-0.01","-0.13","0.06","-0.53","-0.28","-0.62","-0.13","-0.05","0.38"
"1452",="8443","阿瘦","12.1","+0.1","+0.83","0.16","-0.09","1.33","-0.24","0.19","0.19","0.08","-0.05","0.14","0.21","0.16","0.08","-0.05","0.03"
"1453",="2073","雄順","32.9","-0.05","-0.15","-0.04","","","","","","","","-0.04","-0.04","-0.02","-0.03","-0.05","-0.01"
"1454",="6830","汎銓","168","-8.5","-4.82","-0.06","","","","","","","","","-0.11","-0.06","-0.01","-0.05","-0.04"
"1455",="2424","隴華","42.85","-1.05","-2.39","0.07","0.83","0.03","0.1","0.19","0.03","-0.19","-0.35","0.07","0.05","0.1","-0.01","-0.05","0"
"1456",="3259","鑫創","27.25","+0.25","+0.93","0.09","0.09","0.07","0.03","0.1","0.06","0.04","-0.04","0.03","-0.01","0.67","0.05","-0.06","-0.01"
"1457",="4946","辣椒","30.9","+0.15","+0.49","-0.08","-0.2","-0.55","0.37","0.83","-2.65","-0.3","0.94","0.33","-0.32","-0.23","0.85","-0.06","-0.01"
"1458",="6184","大豐電","50.6","-0.1","-0.2","0.16","","1.03","0.77","1.39","0.53","-0.72","-0.37","-0.17","-0.09","-0.28","-0.23","-0.06","-0.01"
"1459",="4175","杏一","121","-0.5","-0.41","0.01","0.17","0.15","0.12","0.16","0.12","0.18","-0.02","-0.04","0.05","-0.21","-0.54","-0.06","-0.09"
"1460",="1441","大東","8.02","-0.07","-0.87","0.94","-0.04","0.54","0.47","0.34","-0.24","-0.23","-0.52","12.5","-0.41","-0.47","-0.66","-0.06","0.57"
"1461",="4154","樂威科-KY","22.85","-1.65","-6.73","0.04","-0.1","-0.03","0.04","0.04","-0.08","0.43","0.08","0.09","-0.08","0.05","0.14","-0.07","-0.05"
"1462",="2723","美食-KY","137.5","0","0","0.13","1.22","1.21","-0.18","0.65","-1.1","0.32","1.36","1.34","-2.22","-1.83","0.85","-0.07","0.18"
"1463",="2740","天蔥","41.95","0","0","-0.04","","","0","-0.02","-0.09","-0.05","-0.2","-0.08","-0.01","0.08","0.08","-0.07","0"
"1464",="2516","新建","5.22","0","0","0.53","-0.15","0.4","0.55","0.27","0.05","0.33","0.88","1.35","0.74","1.46","0.6","-0.07","0.23"
"1465",="5258","虹堡","108","+0.5","+0.47","-0.03","0.08","-0.04","-0.16","-0.05","-0.08","-0.14","-0.4","0.39","0.15","0.52","-0.49","-0.07","0.17"
"1466",="8047","星雲","11.55","+0.1","+0.87","0.05","0.1","0.04","0.12","0.04","-0.07","-0.07","0.14","-0.03","0.02","0.23","0.12","-0.07","0.03"
"1467",="1799","易威","21.85","-0.15","-0.68","-0.06","0.11","-0.04","-0.35","-0.04","0","-0.08","-0.02","0.12","-0.52","-0.24","0.42","-0.07","-0.05"
"1468",="6767","台微醫","48.15","+0.8","+1.69","0.14","","","","","","0.1","0.14","0.15","0.48","0.33","-0.12","-0.07","0.15"
"1469",="4558","寶緯","27.7","-0.2","-0.72","-0.04","","","-0.09","0.02","-0.03","-0.16","-0.06","-0.03","-0.02","-0.02","0.03","-0.07","-0.03"
"1470",="4439","冠星-KY","133","-2.5","-1.85","-0.08","","","","","","","","0.09","-0.32","-0.18","0.05","-0.07","0.04"
"1471",="6486","互動","78.4","-0.9","-1.13","0.08","","","0.05","0.02","0.04","0.05","0","0.17","0.14","0.17","0.25","-0.07","0.02"
"1472",="2726","雅茗-KY","27.55","-0.2","-0.72","0.1","-0.03","0.1","0.05","0.18","0.27","0.06","0.21","-0.06","-0.01","0.36","0.18","-0.08","-0.03"
"1473",="8940","新天地","29.9","-0.05","-0.17","-0.05","0.01","0.27","0.21","-0.28","0.02","-0.06","0.06","0","0.11","-0.79","-0.11","-0.08","-0.04"
"1474",="3288","點晶","21.5","-1.05","-4.66","0.01","0.11","-0.11","0.05","0.04","-0.11","-0.14","0.07","0.08","0.08","0.14","-0.01","-0.08","0.01"
"1475",="8488","吉源-KY","17.95","+1.6","+9.79","-0.28","","","0.48","0.34","-0.54","-1.25","0.22","-1.28","-0.55","-0.17","0.07","-0.08","-0.2"
"1476",="3162","精確","51.8","+0.6","+1.17","-0.12","0.29","0.07","0.08","0","-0.19","-0.48","-1.11","-0.01","-0.34","0.02","0.26","-0.08","0.03"
"1477",="1213","大飲","6.46","+0.01","+0.16","-0.05","0.06","-0.02","0.03","0.04","0.02","0.07","0.05","-0.57","-0.13","0.22","-0.29","-0.08","-0.03"
"1478",="3645","達邁","41.9","+2.25","+5.67","-0.03","0.06","0.29","0.14","0.22","-0.08","-0.25","-0.22","0.19","-0.14","-0.28","-0.16","-0.08","-0.06"
"1479",="3064","泰偉","16.3","+0.8","+5.16","0.32","0.12","-0.08","1.49","0.15","-0.43","0.04","2.33","0.87","-0.17","-0.19","-0.2","-0.09","0.12"
"1480",="5345","天揚","5.2","-0.16","-2.99","0.31","0.22","0.23","0.17","1.34","1.62","-0.17","0.08","0.03","-0.22","-0.03","0.49","-0.09","0.05"
"1481",="4556","旭然","30.1","0","0","0.02","","","0.06","0.07","0.16","0.12","-0.01","0.06","-0.01","-0.03","-0.13","-0.09","-0.05"
"1482",="2748","雲品","86.1","-1.9","-2.16","-0.03","","","0","-0.08","-0.04","-0.09","-0.01","-0.05","-0.37","0.31","0.13","-0.09","-0.01"
"1483",="1337","再生-KY","8.98","0","0","0.11","-0.02","0.14","-0.46","1.14","0.31","-0.87","0.47","-0.58","0.21","0.36","0.69","-0.09","0.07"
"1484",="8066","來思達","29.75","-0.1","-0.34","-0.13","","0.04","-0.11","-0.11","-0.07","-0.24","-0.22","-0.08","-0.12","-0.28","-0.19","-0.1","-0.03"
"1485",="6461","益得","33.25","+0.25","+0.76","-0.01","","","0.03","0.04","0.06","0.07","0.07","0.06","-0.12","-0.1","-0.08","-0.1","-0.05"
"1486",="6568","宏觀","151","-0.5","-0.33","0.05","","","","0.2","0.22","-0.05","-0.23","0.21","0.03","-0.02","0.15","-0.1","0.15"
"1487",="3232","昱捷","27.45","-0.75","-2.66","0.03","-0.04","0.08","-0.05","0.1","0.04","0.01","0.01","0.05","0.02","0.25","0.02","-0.1","-0.05"
"1488",="2736","富野","43.8","-1","-2.23","0.1","","-0.03","-0.07","-0.05","1.22","-0.03","-0.11","-0.02","-0.02","0.17","0.13","-0.1","0.13"
"1489",="5213","亞昕","25.5","-0.5","-1.92","-0.87","-1.4","-1.43","0.6","-1.43","-1.84","-2.38","-0.25","-0.26","-1.22","-0.97","0.3","-0.11","0.23"
"1490",="5468","凱鈺","18","0","0","-0.1","0","-0.02","-0.14","0.03","-0.06","-0.01","-0.09","-0.03","-0.7","-0.05","-0.02","-0.11","0"
"1491",="6248","沛波","28.1","+0.15","+0.54","-0.06","-0.86","-0.16","0.3","0.03","0.01","0.08","0.02","-0.03","0.05","-0.04","-0.03","-0.11","-0.01"
"1492",="8476","台境","68.7","-0.5","-0.72","-0.31","","","","-0.04","-0.04","-0.03","-0.1","-0.91","-0.85","-0.23","-0.48","-0.12","-0.01"
"1493",="2539","櫻花建","42.6","0","0","-0.06","","0.06","0.01","-0.02","-0.04","0.33","-0.09","-0.12","-0.18","-0.18","-0.27","-0.12","-0.01"
"1494",="2947","振宇五金","92.8","+1.7","+1.87","-0.09","","","","","","","","0.03","-0.13","-0.13","-0.1","-0.12","-0.03"
"1495",="6218","豪勉","26.9","0","0","0.11","0.15","-0.32","0.05","0.51","0.13","0.23","-0.07","0.2","0.15","0.1","0.26","-0.13","0.11"
"1496",="4972","湯石照明","28.85","0","0","0.14","0.14","0","0.11","0.21","0.25","0.16","0.57","0.44","-0.14","0.17","-0.11","-0.13","-0.05"
"1497",="2548","華固","90.3","+0.2","+0.22","1.1","1.95","-0.09","0.7","0.18","0.58","0.77","4.22","2.94","0.75","0.82","0.46","-0.13","-0.3"
"1498",="5511","德昌","70.3","-0.8","-1.13","0.81","0.76","0.53","1.12","0.69","0.63","0.58","1.95","0.74","1.01","1.3","0.58","-0.14","0.6"
"1499",="5906","台南-KY","72.7","-1","-1.36","0.22","0.18","-0.09","-0.19","2.98","0.49","-0.04","-0.02","-0.23","-0.62","0.15","0.19","-0.14","0.01"
"1500",="8183","精星","52.2","-0.6","-1.14","0.13","0.51","0.48","0.29","0.73","0.03","-0.24","0.07","-0.28","-0.14","0.14","0.14","-0.14","-0.06"
"1501",="2528","皇普","25.6","-0.3","-1.16","0","","0.69","-0.04","0.14","0.22","-0.04","-1.25","-0.2","0.75","-0.03","-0.04","-0.15","-0.02"
"1502",="6465","威潤","20.1","-0.7","-3.37","0.05","","","0.03","0.07","0.05","0.12","0.27","0.3","0.22","-0.35","-0.01","-0.15","-0.02"
"1503",="6199","天品","18.25","-0.05","-0.27","0.08","","0.27","-0.07","0.02","0.03","-0.03","0.03","0.06","0","0.4","0.36","-0.15","0"
"1504",="5525","順天","26.55","-0.05","-0.19","-0.13","-0.02","-0.53","-0.15","-0.22","-0.23","0.14","-0.06","0.03","-0.13","0.32","-0.51","-0.15","-0.04"
"1505",="6235","華孚","160.5","0","0","0.61","0.53","-1.14","0.27","0.13","0.27","0.25","-0.64","0.32","-0.69","7.36","0.81","-0.16","0.23"
"1506",="1805","寶徠","9.85","+0.04","+0.41","0.27","0.04","0.11","0.19","0.01","2.5","0.19","0.63","-0.05","-0.11","-0.09","0.01","-0.16","-0.18"
"1507",="3521","鴻翊","27.2","+2.25","+9.02","-0.09","","-0.01","-0.57","-0.04","0","0.01","-0.06","-0.02","-0.03","0.05","-0.14","-0.16","-0.2"
"1508",="4153","鈺緯","39.7","-0.8","-1.98","-0.28","","0","0.09","0.29","0.55","-1.25","-2.41","0.14","0","-0.43","0.06","-0.17","-0.02"
"1509",="2013","中鋼構","55.7","-0.3","-0.54","1.35","2.68","1.63","0.92","1.6","0.48","1.33","0.75","0.74","0.42","4.81","1.06","-0.17","0"
"1510",="5284","jpp-KY","136","-4","-2.86","-0.03","","-0.08","-0.04","-0.03","-0.05","0.07","0.09","-0.02","-0.3","0.15","0.04","-0.18","-0.07"
"1511",="3629","地心引力","53","+2.3","+4.54","-0.24","","-0.06","-0.41","-0.61","-0.06","-0.05","-0.31","0.03","0.02","-0.53","-0.51","-0.18","0"
"1512",="5013","強新","34.55","0","0","-0.41","-0.1","-0.22","-0.2","-0.44","-0.51","-0.56","-0.45","-0.76","-0.56","-0.36","-0.54","-0.18","-0.14"
"1513",="3709","鑫聯大投控","23.65","-0.05","-0.21","-0.12","","","","","","0","0.02","-0.23","-0.6","-0.24","0.42","-0.18","-0.05"
"1514",="4726","永昕","42.35","-0.55","-1.28","0.1","","0.3","0.2","0.46","0.31","0.6","-0.84","0.37","0","-0.07","-0.02","-0.18","-0.84"
"1515",="3714","富采","49.45","-0.85","-1.69","-12.3","","","","","","","","","","-39.4","2.53","-0.18","-0.02"
"1516",="6625","必應","121","+7.5","+6.61","-0.02","","","","-0.01","-0.07","-0.02","-0.04","0.02","0.01","0.19","-0.1","-0.18","0.06"
"1517",="2729","瓦城","290","-5","-1.69","0","0.09","0.05","0.15","0.13","0.13","0.05","0.03","0.01","-0.25","-0.62","0.38","-0.18","0.03"
"1518",="1470","大統新創","20.5","+0.05","+0.24","0.06","","0.13","0.05","0.07","0.05","0.04","0.1","0.08","0.08","0.22","-0.01","-0.18","0.17"
"1519",="5227","立凱-KY","67.8","+0.9","+1.35","-1.17","-0.08","-0.36","-0.03","0.14","-0.43","-0.26","-0.21","-4.88","-1.89","-3.02","-2.86","-0.18","-0.01"
"1520",="1529","樂事綠能","38.9","-0.5","-1.27","-0.12","1.14","-0.32","-0.19","0.18","-1.98","-0.46","0.15","0.09","0.06","-0.03","0.1","-0.19","0.36"
"1521",="3221","台嘉碩","29.55","-0.3","-1.01","0.3","0.11","0.38","0.44","0.42","0.32","0.36","-0.45","-0.23","-0.77","-0.94","4.15","-0.19","-0.14"
"1522",="2008","高興昌","19.7","0","0","5.16","","-2.98","56.9","-0.11","4.2","-0.47","-0.79","0.24","-0.01","0.38","-0.34","-0.19","0.13"
"1523",="8478","東哥遊艇","579","-8","-1.36","-0.19","","","","0.09","0","-0.21","-0.35","1.25","-0.66","-1.08","-0.59","-0.19","0.04"
"1524",="3494","誠研","9.05","-0.01","-0.11","-0.33","-0.18","0.02","0.01","0.35","-0.16","-0.08","-1.32","-0.91","0.57","-2.13","0.01","-0.2","-0.1"
"1525",="1264","德麥","296","+1.5","+0.51","0.04","0.04","0.03","0.09","0.1","-0.11","-0.03","-0.07","0.14","0.19","0.21","0.02","-0.2","-0.01"
"1526",="6712","長聖","193.5","0","0","0.44","","","","","","0","0.03","0.07","0.16","0.2","2.81","-0.2","0.97"
"1527",="3272","東碩","42.7","-0.45","-1.04","0.18","0.04","-0.06","0.04","0.52","0.56","0.17","-0.17","0.78","0.08","-0.01","0.38","-0.2","-0.12"
"1528",="3685","元創精密","25.55","-0.85","-3.22","-0.03","-0.03","-0.17","-0.13","-0.94","-0.14","-0.03","0.37","0.35","0.19","0.24","0.11","-0.2","-0.06"
"1529",="3581","博磊","24.25","+0.3","+1.25","-0.08","0","-0.67","-0.69","0.42","-0.22","0.04","0","-0.01","0.02","0.33","0.07","-0.2","0.15"
"1530",="5364","力麗店","31.15","+0.2","+0.65","-0.12","-0.84","-0.32","0.22","0","0.1","0.18","-0.08","-0.07","-0.2","-0.14","-0.04","-0.21","-0.04"
"1531",="6573","虹揚-KY","16.2","-0.1","-0.61","0.01","","","","","","-0.23","0.11","0.95","0.34","-0.23","-0.62","-0.21","-0.05"
"1532",="3593","力銘","12.5","-0.1","-0.79","-0.19","-0.09","0.03","-0.62","0.13","-0.4","-0.42","-0.09","-0.4","-0.3","0.33","-0.23","-0.22","-0.07"
"1533",="2630","亞航","52.4","-2.7","-4.9","0.06","-0.05","-0.08","0.09","0.07","-0.22","-0.04","-0.01","-0.06","-0.19","0.73","0.71","-0.22","-0.07"
"1534",="2754","亞洲藏壽司","179.5","-5.5","-2.97","-0.08","","","","","","","0.02","-0.04","-0.05","-0.11","-0.09","-0.22","-0.08"
"1535",="3564","其陽","60.5","-4.2","-6.49","-0.08","0.04","-0.06","-0.08","0.2","0.03","-0.13","-0.25","-0.04","-0.16","-0.14","-0.1","-0.22","-0.09"
"1536",="4137","麗豐-KY","200","0","0","1.02","","0.05","0.56","1.19","0.7","0.21","0.18","1.06","1.93","2.74","2.82","-0.23","2.54"
"1537",="5529","鉅陞","11.7","0","0","-0.38","","-0.63","-0.22","-0.22","-0.14","-0.47","-0.41","-0.29","-0.29","-0.92","-0.33","-0.23","-0.03"
"1538",="2724","富驛-KY","14.3","0","0","-0.33","-0.02","-0.06","0.22","0.17","-0.52","-2.86","-1.07","1.17","0.06","-0.64","-0.19","-0.23","0.03"
"1539",="1108","幸福","16.1","-0.2","-1.23","-0.06","-0.47","1.73","-0.59","-0.01","-0.08","-0.25","-0.19","-0.37","-0.24","-0.03","0.03","-0.23","0.11"
"1540",="5386","青雲","54","-1.5","-2.7","0","0","0","0.07","0.04","0.04","0.06","0.05","-0.03","-0.07","-0.01","0.1","-0.24","-0.01"
