"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)","23Q2EPS(元)"
"1466",="5383","金利","30.2","+0.2","+0.67","-0.04","-0.27","-0.28","-0.06","-0.01","0.28","0.12","0.16","0.2","-0.06","-0.1","-0.17","-0.33"
"1467",="4960","誠美材","11.85","+0.1","+0.85","0.12","0.01","0.19","0.37","0.34","0.37","0.06","0.18","0.33","0.36","-0.17","-0.3","-0.29"
"1468",="1438","三地開發","30.1","-0.05","-0.17","0.47","-0.03","-0.04","-0.06","-0.07","0.32","0.4","0.02","5.61","-0.31","-0.07","0.23","-0.39"
"1469",="1598","岱宇","31.95","+0.1","+0.31","0.99","3.88","6.26","2.1","0.4","0.87","0.11","-0.35","-0.49","0.63","-0.38","-0.9","-0.29"
"1470",="4903","聯光通","16.9","+0.2","+1.2","-0.21","-0.77","-0.26","-0.05","-0.04","0.11","-0.37","-0.16","-0.62","-0.01","-0.01","-0.17","-0.22"
"1471",="3297","杭特","16.05","+0.15","+0.94","-0.2","-0.29","-1.36","-0.13","0.21","-0.21","-0.31","0.16","-0.09","0.4","-0.36","-0.43","-0.01"
"1472",="6165","浪凡","34","+0.1","+0.29","0.31","0.26","0.79","0.3","2.41","0.81","-0.91","0.06","0.38","0.49","-0.3","-0.73","0.16"
"1473",="6683","雍智科技","199.5","+4","+2.05","3.64","3.64","3.26","4.06","3.88","3.75","3.81","4.17","3.93","3.87","3.05","3.54","2.7"
"1474",="8421","旭源","12.85","+0.35","+2.8","0.46","-0.45","-0.5","-0.41","-0.45","0.05","-1.27","9.26","0.01","0.18","-0.79","-0.31","0.14"
"1475",="3325","旭品","34.75","+0.75","+2.21","-0.02","1.05","-0.03","0.02","-0.2","-0.22","-0.3","-0.43","-0.02","-0.14","-0.32","-0.28","0.63"
"1476",="5543","桓鼎-KY","46.45","-0.75","-1.59","0.15","1","0.19","0.16","1.59","0.69","0.85","-0.55","0.31","0.02","-1.41","-1.18",""
"1477",="2415","錩新","35.1","+3.15","+9.86","0.28","0.13","0.84","0.76","1.12","0.32","0.53","0.71","0.09","-0.62","-0.12","-0.18","-0.25"
"1478",="8429","金麗-KY","9.88","0","0","-0.21","-1.13","-0.2","0.1","0.1","-0.04","-0.04","-0.15","-0.3","-0.68","0.04","-0.02",""
"1479",="1806","冠軍","9.27","+0.09","+0.98","0.17","0.04","0.27","-0.39","-0.04","2.62","0.1","-0.03","-0.16","0.14","-0.4","-0.08","-0.07"
"1480",="3685","元創精密","23.3","+0.6","+2.64","-0.05","0.03","0.31","-0.08","-0.07","-0.09","0.29","0.01","-0.23","-0.11","-0.41","-0.19","-0.11"
"1481",="2536","宏普","25.2","-0.1","-0.4","-0.02","0.4","0.3","0.21","-0.14","-0.12","-0.09","0.47","-0.15","-0.23","-0.25","-0.32","-0.26"
"1482",="1815","富喬","13.6","+0.65","+5.02","0.07","-0.15","-0.13","0.01","0.41","0.61","0.4","0.13","0","0.13","-0.18","-0.07","-0.35"
"1483",="3339","泰谷","15.25","+0.7","+4.81","0.14","0.14","-0.06","0.54","0.23","0.3","0.75","-0.06","0.17","-0.5","-0.08","0.04","0.18"
"1484",="6698","旭暉應材","34.7","+0.9","+2.66","-0.06","0.11","0.38","0.27","-0.19","0.06","0.25","0.07","0.02","-0.25","-0.39","-0.7","-0.36"
"1485",="6240","松崗","22.05","+0.15","+0.68","0.28","0.14","0.55","0.25","0.78","0.06","0.05","-0.1","2.16","-0.49","0.58","0.06","-0.68"
"1486",="5272","笙科","24.75","+0.55","+2.27","0.1","-0.06","-0.04","-0.02","0.34","0.3","0.34","0.47","0.5","0.09","-0.18","-0.28","-0.23"
"1487",="6426","統新","67.8","-0.5","-0.73","0.19","1.2","0.31","0.03","0.37","-0.26","0.17","0.63","0.78","0.91","0.01","-0.83","-1.07"
"1488",="6512","啟發電","20.7","-0.25","-1.19","-0.12","-0.15","0.01","-0.28","-0.48","-0.41","-0.34","0.25","0.5","0.17","-0.03","-0.41","-0.25"
"1489",="5703","亞都","24.35","+0.15","+0.62","-0.28","-0.35","-0.19","-0.31","-0.48","-0.66","-0.31","-0.32","-0.55","-0.36","0.02","0.14","0"
"1490",="8068","全達","28.05","-0.05","-0.18","-0.11","-0.12","-0.21","-0.17","-0.21","0.02","-0.16","0","-0.02","0.1","-0.37","-0.14","0"
"1491",="8455","大拓-KY","20.35","0","0","0.12","-0.12","-0.16","0.07","0.18","0.39","0.36","0.49","0.14","0","-0.21","0.13",""
"1492",="6104","創惟","102","+5.4","+5.59","1.06","1.12","0.53","0.51","1.42","1.96","2.52","3.93","1.44","0.27","-1.05","-0.32","0.44"
"1493",="5202","力新","15.65","+0.05","+0.32","-0.11","-0.25","0.19","0.07","0.27","-0.2","-0.45","-0.16","-0.41","-0.29","-0.15","-0.18","0.24"
"1494",="9928","中視","17.6","-0.4","-2.22","-0.03","-0.04","0.05","-0.14","-0.15","-0.04","0.36","-0.07","-0.07","-0.17","0.41","-0.29","-0.2"
"1495",="6118","建達","27.15","-0.05","-0.18","0.07","0.08","0.26","0.13","0.19","0.18","0.1","0.07","0.16","-0.01","0.15","-0.04","-0.48"
