"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"364",="6265","方土昶","10.95","23Q1","10.9","-13.1","0.16","-51.8","-0.14","-258","1.47","-1.18","-1.29","-1.99","-0.12","-0.19","-1.01","-1.65","-0.87","-1.42","38"
"365",="2537","聯上發","7.11","23Q1","7.48","-55.5","2.23","-46.4","-0.4","-152","29.8","+5.08","-5.4","-10","-0.13","-0.39","-0.95","-2.79","-0.27","-0.79","28"
"366",="3543","州巧","21.8","23Q1","29.2","-4.26","4.23","+14.2","-0.22","+55.9","14.5","+2.34","-0.97","+0.88","-0.24","+0.31","-0.93","+0.95","-0.59","+0.56","40"
"367",="6020","大展證","18.8","23Q1","1.32","+208","1.11","+179","-0.38","+85.9","84.1","","-28.8","","-0.15","+0.92","-0.9","+5.1","-0.57","+3.32","43"
"368",="2923","鼎固-KY","24.9","23Q1","66.7","-27.7","35.4","-35.3","-4.72","-180","53.1","-6.23","-7.07","-13.5","-0.28","-0.62","-0.88","-2.03","-0.42","-0.95","36"
"369",="2596","綠意","22.2","23Q1","1.97","-52.3","0.52","-65.5","-0.19","-132","26.6","-10.2","-11.1","-24.4","-0.18","-0.76","-0.87","-3.09","-0.62","-2.14","32"
"370",="8462","柏文","153.5","23Q1","36.5","+1.29","7.71","-7.07","-0.15","-121","21.1","-1.9","-0.39","-2.4","-0.2","-1.15","-0.83","-5.12","-0.16","-0.99","38"
"371",="6683","雍智科技","229.5","23Q1","15.3","+0.31","7.48","+0.05","3.89","-4.21","48.8","-0.13","-1.11","-27.7","14.37","-0.64","-0.83","-21.6","-0.69","-17.8","55"
"372",="1721","三晃","14.4","23Q1","27.9","-7.36","1.78","-30.4","-0.19","-131","6.39","-2.11","-0.69","-2.73","-0.11","-0.44","-0.82","-3.41","-0.48","-1.97","34"
"373",="1815","富喬","12.65","23Q1","44.8","-3.71","7.19","-14.1","-0.58","-283","16.1","-1.94","-1.29","-1.97","-0.13","-0.2","-0.78","-1.2","-0.4","-0.62","40"
"374",="3092","鴻碩","37.15","23Q1","28.8","-14.3","4.87","-15.8","-0.16","-125","16.9","-0.3","-0.57","-2.52","-0.17","-0.88","-0.76","-4.06","-0.3","-1.56","32"
"375",="6593","台灣銘板","78.2","23Q1","5.05","-2.91","1.03","-5.27","-0.04","-257","20.5","-0.51","-0.78","-1.26","-0.19","-0.31","-0.76","-1.26","-0.43","-0.7","40"
