"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1542",="3499","環天科","19.8","23Q2","32.8","2.19","17.6","45.6","63.8","0.99","25.3","0.32","0.11","38.6","0","0.19","39.6","60.4","9.87","43"
"1543",="6216","居易","30.5","23Q2","13","6.91","11.5","76.7","89.2","0.03","10.2","","0.02","17.1","","0.01","17.7","82.3","17.67","64"
"1544",="4702","中美實","12.9","23Q2","25","6.4","0.54","31.4","45.1","49.3","5.09","","0.01","22.1","","0.27","23","77","16.15","47"
"1545",="6194","育富","35.65","23Q2","35.8","22.1","4.4","64.7","69.5","16.4","10.4","","2.24","11.8","","","16.7","83.3","36.05","57"
"1546",="3426","台興","38.4","23Q2","25.9","17.5","5.56","73","80.3","10.3","7.25","","0.79","21.3","","0.02","35","65","24.33","55"
"1547",="1475","業旺","51.7","23Q2","58.7","26.2","1.89","97.4","100","","0","0.03","0.02","23.2","0","","23.2","76.8","17.23","73"
"1548",="3518","柏騰","38.85","23Q2","33.6","14.9","0.24","75.2","76.6","0","13.7","0.53","1.71","16.6","0.37","0.23","19.4","80.6","16.75","55"
"1549",="1540","喬福","18.6","23Q2","12.2","6.02","13.6","65.8","80","","17.5","0.07","0","19","","0.21","19.8","80.2","16.17","61"
"1550",="6590","普鴻","85.3","23Q2","7.86","6.99","2.33","46.1","53.3","12.6","29.3","1.87","0.91","18.7","13.5","0.09","33.7","66.3","26.65","68"
"1551",="3285","微端","22.6","23Q2","48.5","14.5","10.7","73.9","85.7","0","11.6","0.04","0.98","33","0.48","","35.8","64.2","13.7","49"
"1552",="4102","永日","30.9","23Q2","15.2","11.7","14.9","26.9","42.9","15.6","38.1","","0.73","15.9","13.4","0.83","32.8","67.2","14.69","55"
"1553",="6799","來頡","151","23Q2","34.7","10.8","11.5","76.4","89.6","","9.24","0.51","0.05","21.2","","","21.2","78.8","30.94","70"
"1554",="6697","東捷資訊","53","23Q2","21.1","41.4","0.95","67.9","73.4","9.34","3.58","0.18","11.9","36.3","","0.1","38","62","20.13","47"
"1555",="8088","品安","33.75","23Q2","46.2","12.3","8.09","58.5","67.4","2.55","28.6","0.18","0.39","23.1","0","0.23","23.5","76.5","17.91","64"
"1556",="1813","寶利徠","19.25","23Q2","18.3","10.4","13.3","31.5","45.1","14.5","27.5","5.86","0.35","27.7","0","0.47","29.2","70.8","17.25","45"
"1557",="5244","弘凱","30.15","23Q2","45.7","15.8","1.97","63.7","68","0.19","24.7","0.33","2.19","16.5","","0.18","17.6","82.4","22.84","68"
"1558",="4174","浩鼎","84.5","23Q2","42.5","0.44","0.41","55.4","58.9","21.8","14.5","1.23","0.75","1.7","1","0","5.15","94.8","21.25","43"
"1559",="6821","聯寶","41.4","23Q2","30.6","18.5","4.2","50.8","56.3","11.4","16.3","2.87","0.64","20.6","0","2.5","34.5","65.5","20.15","57"
"1560",="6616","特昇-KY","13.65","23Q1","26.1","11.1","23.9","37.2","64.2","0.54","18.5","0","2.98","37.3","2.52","0.61","45.3","54.7","13.61","32"
"1561",="3025","星通","41.5","23Q2","35.6","8.27","28.6","47.6","76.7","3.66","12.2","0.57","2.4","20.8","0","2.12","27.6","72.4","12.08","72"
"1562",="4304","勝昱","8.24","23Q2","6.28","26.9","30","33.8","67","","27.1","","4.89","62","0","0.01","63.2","36.8","5.2","16"
"1563",="3354","律勝","14.55","23Q2","30","3.47","1.56","52.5","54.4","0.96","33.3","1.3","0.68","20.5","","0.14","25.5","74.5","13.4","40"
"1564",="1423","利華","23.6","23Q2","13.7","0.22","7.09","33","40.2","48.8","9.93","","0.35","2.58","","0.19","9.44","90.6","22.13","57"
"1565",="9912","偉聯","10.15","23Q2","15.2","6.03","29.1","21.2","54.6","21.6","17.6","3.66","1.15","42.2","0","0.12","42.8","57.2","7.91","40"
"1566",="2424","隴華","34.6","23Q2","24.5","3.01","5.21","27.5","40.6","","36.4","","1.78","35.4","4.99","","54.3","45.7","5.16","25"
"1567",="5210","寶碩","19.85","23Q2","30.4","14","0.42","55.9","61","2.13","27.4","0.36","4.75","25.7","12.7","0.05","40.2","59.8","7.55","43"
"1568",="8034","榮群","19.25","23Q2","26.8","11.9","39.3","51","95","2.23","0.3","0.02","0.55","29.6","","0.06","31.4","68.6","10.98","53"
"1569",="1713","國化","32","23Q2","6.34","5.9","7.78","14.6","22.6","66.1","10.8","","0.11","6.63","","0.18","10.5","89.5","17.62","57"
"1570",="8424","惠普","67.3","23Q2","14.6","16.7","11.3","36.4","49.9","1.9","45.8","","2.08","22.2","","1.04","23.3","76.7","28.37","62"
"1571",="3372","典範","13.4","23Q2","22.3","8.03","10.4","37.6","48.6","0.36","45","","2.04","10.4","","","13.7","86.3","11.14","43"
"1572",="3118","進階","30.2","23Q2","56.1","13.8","11.2","70","82.9","","11.3","0","4.05","35.5","","0.37","37.2","62.8","15.98","59"
"1573",="8227","巨有科技","159","23Q2","49.8","8.9","16.6","61.4","86.4","","11.7","","0.28","28.2","","1.56","30","70","19.19","68"
"1574",="3229","晟鈦","14.45","23Q2","14.8","24.3","15","48.1","66","","24.2","5.72","0.21","30.1","","0.05","32.7","67.3","9.78","30"
"1575",="3313","斐成","10.45","23Q2","8.81","0.08","48.8","33.6","82.7","9.57","6.13","1.19","0.35","23.3","","0.02","23.3","76.7","8.41","32"
"1576",="2431","聯昌","10.55","23Q2","46.3","7.32","12.4","63.9","76.7","14.2","5.28","0.15","0.67","16.1","","0.35","17.9","82.1","12.58","38"
"1577",="3666","光耀","26.25","23Q2","15.1","22.4","14.4","37.6","54.2","6.15","36.6","0.08","1.05","26.4","0","","27.3","72.7","15.25","30"
"1578",="6568","宏觀","126","23Q2","34.5","5.15","21","60.7","82.1","0.63","12.7","3.6","0.16","17.4","","0","17.7","82.3","45.88","57"
"1579",="3441","聯一光","38.2","23Q2","49.1","6.72","17.8","73.4","91.7","0","4.03","0.32","0.56","24.6","1.91","1.5","28.8","71.2","18.35","60"
"1580",="6796","晉弘","116.5","23Q2","31.9","11.5","15","53.9","71.1","0.13","20.9","1.33","3.56","23.8","6.44","0","32.4","67.6","18.94","64"
"1581",="4419","元勝","28.2","23Q2","15.8","3.63","1.38","19.5","21.8","0.19","21.3","0.3","18","24.3","","1.29","70.2","29.8","1.87","43"
"1582",="6642","富致","48.3","23Q2","10.6","9.07","4.99","57.5","62.7","1.67","31.4","0.13","1.03","20.9","0","1.28","23.5","76.5","25.8","62"
"1583",="6532","瑞耘","58","23Q2","12.6","9.76","14","22.6","37.2","","61.3","0.19","0.23","23.3","","0.15","23.6","76.4","25.51","64"
