"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"826",="3338","泰碩","63.6","-0.1","-0.16","0.49","-2.12","-1.18","-0.08","-1.44","0.32","-0.92","0.98","3.24","4.62","-1.86","-0.73","5.05"
"827",="8416","實威","139.5","+1.5","+1.09","1.79","0.29","0.34","2.71","2.07","3.27","0.55","0.2","0.35","3.3","3.59","3.5","1.37"
"828",="9911","櫻花","62.9","-0.3","-0.47","1.63","2.69","1.57","0.68","0.31","3.2","0.82","2.95","0.85","3.55","0.63","1.08","1.26"
"829",="3296","勝德","15.8","-0.15","-0.94","0.54","-2.46","0.23","2.32","0.05","1.03","-3.73","-1.58","4.8","7.33","-5.35","-3.32","7.18"
"830",="1466","聚隆","11.1","-0.1","-0.89","0.4","2.58","0.65","-0.94","-1.21","-2.37","0.03","1.2","3.8","5.09","-2.72","-1.93","0.66"
"831",="4754","國碳科","44.4","+0.65","+1.49","0.36","-1.07","-1.41","-0.7","-1.18","0","-0.32","3.23","3.64","3.46","-1.64","-0.35","0.63"
"832",="4532","瑞智","19.85","-0.5","-2.46","1.24","2","0.81","0.29","0.4","1.15","0.15","0.75","2.41","2.77","2.33","0.09","1.67"
"833",="8489","三貝德","23.1","-0.1","-0.43","1.5","-0.37","-2.52","2.92","3.11","9.25","-9.76","0.6","2.55","5.68","-1.02","3.84","3.75"
"834",="5465","富驊","39.65","-0.45","-1.12","0.64","0.11","-2.5","1.54","-0.25","0.97","-0.94","1.88","3.62","3.1","-1.23","0.24","1.21"
"835",="6269","台郡","90.1","-2.7","-2.91","1.74","0.27","2.24","1.75","-0.19","2.86","1.38","2.49","3.15","4.24","-1.8","1.29","3.15"
"836",="8938","明安","76.3","-0.4","-0.52","0.17","-2.24","-3.63","-1.17","-0.75","0.62","-1.4","2.08","3.46","6.48","-3.38","-1.74","3.77"
"837",="4764","雙鍵","44.95","-0.05","-0.11","1.23","1.09","0.04","-1.18","2.29","-0.44","-0.54","1.14","2.19","5.25","-0.66","2.43","3.11"
"838",="5434","崇越","173","-2.5","-1.42","1.57","0.95","1.89","1.16","1.17","1.1","1.15","1.6","3.1","1.82","1.12","1.91","1.86"
"839",="8210","勤誠","218.5","+0.5","+0.23","1.4","-0.1","9.59","-0.08","-0.87","0.2","0.76","0.85","2.66","5.24","-1.85","-0.96","1.39"
"840",="6208","日揚","48.3","0","0","1.22","2.16","3.83","0.96","3.21","3.08","-4.66","2.62","2.15","2.2","0.59","-0.89","-0.55"
"841",="2425","承啟","46.1","-0.2","-0.43","-0.01","-0.6","-1.6","-0.34","-6.26","-1.88","-0.63","2.03","2.21","5.33","-2.33","0.63","3.35"
"842",="6109","亞元","15.95","+0.1","+0.63","0.34","-1.01","1.54","1.26","-0.99","0.54","-6.22","1.47","3.02","5.71","-2.8","-1.81","3.34"
"843",="6292","迅德","47.45","-0.35","-0.73","7.62","3.45","4.57","11.9","27","0.9","12.3","13.3","-21.1","11.6","3.5","3.15","20.9"
"844",="1580","新麥","125.5","+0.5","+0.4","0.86","-0.83","-0.11","1.19","0.22","-0.12","-0.04","1.44","3.56","3.93","-1.61","-1","3.72"
"845",="5228","鈺鎧","22.4","0","0","0.27","-0.15","-0.55","-0.85","-0.62","-1.48","-1.8","2.31","0.44","3.04","1.66","0.13","1.16"
"846",="1809","中釉","14.25","+0.15","+1.06","1.69","1.15","1.52","0.5","0.44","0.46","7.11","2.87","5.07","2.7","-3.6","0.53","1.56"
"847",="2444","兆勁","12.8","-0.1","-0.78","0.24","-1.91","-2.35","-0.9","-2.18","-0.63","0.61","2.63","3.85","6.69","-3.42","-2.34","2.82"
"848",="6763","綠界科技","439","+13","+3.05","1.28","0.17","0.18","0.15","0.19","0.18","0.26","0.27","1.87","1.79","3.34","3.02","3.92"
"849",="3085","新零售","15.6","0","0","45.4","26.2","199","72.2","13.1","229","-0.19","-0.31","3.85","2.59","0.47","-0.44","-0.77"
"850",="3527","聚積","92.9","-0.5","-0.54","1.64","0.49","3.71","2.03","0.4","0.82","1.8","3.93","0.53","3.18","-0.39","1.28","1.88"
"851",="1256","鮮活果汁-KY","270","0","0","1.1","0.65","0.1","1.16","0.74","0.07","0.55","0.35","1.28","3.67","0.6","0.87","3.19"
"852",="3105","穩懋","138","-5","-3.5","0.62","3.72","-0.69","3.18","-4.56","0.42","0.56","1.33","-1.48","12.8","-4.35","1.37","-4.85"
"853",="3081","聯亞","111","+3","+2.78","1.25","2.01","-1.5","1.38","-1.8","1.93","-0.03","3.07","2.28","4.54","-1.97","0.15","4.94"
"854",="5306","桂盟","143","0","0","0.96","-0.64","-0.79","1.18","0.19","1.24","-1.15","0.65","2.1","4.11","0.11","1.3","3.26"
"855",="8071","能率網通","15.2","-0.1","-0.65","0.83","0.17","-0.23","5.15","-0.97","-0.06","-0.35","0.93","4.02","2.53","-0.43","-1.87","1.13"
"856",="5236","凌陽創新","138.5","-4.5","-3.15","1.23","0.13","-0.18","0.21","-0.09","1.39","0.59","0.81","1.26","1.36","4.5","1.76","3.02"
"857",="9942","茂順","145.5","-0.5","-0.34","0.8","2.12","0.76","-0.45","-0.07","0.34","-1.64","2.76","1.2","3.54","0.09","-0.21","1.17"
"858",="6451","訊芯-KY","107.5","+9.7","+9.92","2.88","-0.03","3.96","3.12","5.71","6.25","-0.95","1.52","6.44","6.11","-5.94","2.47","5.91"
"859",="1560","中砂","134.5","+1.5","+1.13","0.39","-0.35","-1.97","-0.6","-2.28","-1.79","1.46","2.05","1.53","4.36","-0.92","-0.48","3.71"
"860",="1445","大宇","20.8","-0.25","-1.19","2.72","9.24","5.05","1.29","5.03","1.1","1.19","1.92","1.14","4.98","-0.47","-0.62","2.77"
"861",="6206","飛捷","67.3","0","0","1.09","2.81","-0.3","0.35","-0.06","-0.01","-0.11","2.48","1.47","4.28","-2.19","0.11","4.27"
"862",="2409","友達","16.55","+0.1","+0.61","1.02","0.58","0.1","0.74","0.57","0.47","1.84","0.88","1.59","4.65","0.82","-0.3","0.25"
"863",="5457","宣德","58.5","0","0","0.72","1.44","-1.41","-0.14","0.1","2.01","-0.15","1.52","3.47","5.65","-4.63","-3.8","4.57"
"864",="5878","台名","48.55","-0.1","-0.21","1.28","1.37","0.41","0.78","1.28","1.22","0.43","0.08","5.5","1.16","0.33","0.73","2.08"
"865",="2327","國巨","502","0","0","0.48","-3.07","-4.22","1.77","0.87","0.26","-3.95","1.89","1.53","1.9","1.75","1.97","5.08"
"866",="1309","台達化","18.2","+0.75","+4.3","1.09","0.48","0.39","0.94","0.49","0.75","0.94","2.32","2.26","2.39","-0.3","0.59","1.86"
"867",="8279","生展","168","+1","+0.6","1.44","0.18","1.7","-0.05","-0.11","2.89","1.04","2.56","2.37","2.02","0.32","1.06","3.24"
"868",="6590","普鴻","86.9","+0.6","+0.7","4.6","1.1","0.63","13.9","-0.63","2.92","9.81","5.79","-6.24","4.55","3.04","11","9.29"
"869",="1586","和勤","32.85","+0.25","+0.77","0.19","-3.24","-0.35","0.15","-0.91","0.79","-0.71","0.95","2.86","4.59","-1.34","-3.85","3.35"
"870",="1726","永記","73.1","-0.2","-0.27","1.04","0.45","0.58","0.69","-0.14","1.12","1.05","1.17","3.59","2.51","0.03","0.22","1.19"
"871",="6179","亞通","29.6","+0.85","+2.96","0.08","-0.96","-2.62","0.25","-2.75","5.78","-4.99","3.63","7.81","11.1","-12.6","-5.96","2.2"
"872",="2634","漢翔","61.9","+1.5","+2.48","1.28","0.03","1.88","0.63","6.09","0.07","-2.87","2.57","2.84","4.17","-1.89","0.57","1.28"
"873",="5403","中菲","106","+1.5","+1.44","2.36","1.63","5.6","0.41","1.43","1.41","1.26","1.78","1.12","3.43","0.73","0.65","8.83"
"874",="6140","訊達","19.1","-0.1","-0.52","0.14","0.04","-0.26","-0.22","-0.32","-0.22","-0.08","1.92","2.42","3.86","-1.99","-0.92","-2.6"
"875",="3311","閎暉","40.6","-1.35","-3.22","2.25","1.1","3.15","1.47","2.02","1.3","2.28","2.16","1.61","1.69","1.51","2.58","6.1"
"876",="1710","東聯","20.35","+0.05","+0.25","0.96","-4.05","-3.81","6.67","-2.71","-1.23","-3.04","-2.34","-2.53","-2.87","15.9","12.5","-1"
"877",="3684","榮昌","45.5","-0.3","-0.66","-0.1","-4.41","-2.53","-0.79","-1.93","0.06","-0.6","1.83","3.43","5.75","-3.92","-1.79","3.68"
"878",="6517","保勝光學","86.1","+2.3","+2.74","2.23","","1.57","-0.69","-1.26","0.37","5.44","3.59","-0.02","6.52","-2.27","0.78","10.5"
"879",="3529","力旺","1835","-50","-2.65","1.39","0.37","-0.93","1.11","0.08","1.08","0.12","2.04","1.91","5.06","-1.61","0.66","6.76"
"880",="8916","光隆","54.5","0","0","2.66","0.52","0.99","7.43","0.23","-0.85","14.1","2.69","1.84","3.28","-1.7","0.04","3.4"
"881",="4722","國精化","34.3","-0.2","-0.58","1.02","0.96","2.33","1.59","0.47","-0.49","-0.21","1.34","0.92","5.92","-1.55","0.6","0.4"
"882",="9951","皇田","74.3","+0.2","+0.27","1.04","1.82","0.84","-1.07","-0.79","0.59","0.32","2.93","1.11","4.15","-1.03","1.45","2.13"
"883",="8097","常珵","55.6","-1.2","-2.11","3.09","1.85","3.62","1.54","0.21","-1.02","-0.23","1.94","-0.49","5.07","0.05","2.8","21.7"
"884",="6751","智聯服務","91.7","-4","-4.18","0.64","-0.24","0.02","0","0.11","0.18","0.14","0.3","0.29","4.62","1.62","0.1","0.53"
"885",="6570","維田","57.5","-0.8","-1.37","0.17","-2.09","-7.21","2.99","-0.43","0.27","0.71","2.32","2.05","3.82","-1.68","-1.14","2.49"
"886",="3023","信邦","321.5","+1","+0.31","1.21","-0.05","-0.94","0.69","1.14","0.75","1.18","2.06","2.43","2.83","-0.49","0.98","3.96"
"887",="6799","來頡","147","-4.5","-2.97","0.09","-3.2","-3.92","-0.58","-0.69","0.21","-0.05","1.23","2.1","3.08","0.2","-0.19","2.89"
"888",="8420","明揚","83","+1.1","+1.34","0.41","-0.53","-2.64","-0.98","0.79","0.15","-0.31","2.32","2.6","5.88","-3.38","-1.02","2.05"
"889",="8482","商億-KY","66.1","0","0","1.4","-0.41","0.28","4.35","1.85","3.85","1.72","2.06","3.42","2.43","-1.51","-5.18","4"
"890",="5450","南良","18.5","+0.75","+4.23","0.24","-0.8","-1.53","-0.1","-1.69","0.59","-0.58","1.7","2.03","4.32","-1.98","-1.33","2.3"
"891",="3504","揚明光","64","-0.5","-0.78","0.62","0.82","-1.76","0.66","0.49","0.53","0.49","1.35","1.88","4.09","-1.85","-1.53","2.23"
"892",="1734","杏輝","32.7","-0.1","-0.3","0.6","-0.7","-0.23","0.55","-1.28","0.71","-0.21","0.62","2.01","2.66","1.35","0.76","0.95"
"893",="5321","美而快","86","+2.4","+2.87","-0.16","-12.3","-0.94","1.55","-0.42","1.14","1.24","1.56","1.51","2.26","1.34","1.27","-0.09"
"894",="4735","豪展","37.5","+0.05","+0.13","0.75","0.58","-1.6","1.56","-2.44","-1.36","1.52","6.38","0.44","4.32","-4.43","2.23","1.78"
"895",="4739","康普","72.9","-0.6","-0.82","0.75","-0.16","0.14","0.67","-1.17","1.93","-0.26","0.84","1.45","3.18","1.21","-0.58","1.73"
"896",="4580","捷流閥業","90.6","-0.2","-0.22","0.41","-1.31","-1.61","0.69","-1.41","-0.1","-0.8","1.97","1.91","3.66","-1.53","-0.03","3.52"
"897",="4584","君帆","46.85","+0.85","+1.85","0.7","","2.7","-0.77","-0.45","-0.3","0.2","0.62","0.53","4.44","1.25","0.51","-0.99"
"898",="6662","樂斯科","31.75","+0.1","+0.32","1.75","2.95","-0.16","0.27","1.67","2.06","0.31","-0.22","1.18","2.63","2.52","3.4","4.43"
"899",="2207","和泰車","666","-6","-0.89","1.06","0.93","0.19","0.49","0.8","-0.58","2.25","0.26","2.97","2.26","1.18","0.94","0.99"
"900",="2020","美亞","26.75","+1.15","+4.49","3.71","8.05","-0.05","18","2.04","3.54","2.28","5.02","-1.21","1.59","1.28","2.68","1.24"
"901",="6121","新普","321","-2","-0.62","1.2","0.31","0.06","0.75","1.41","0.83","0.95","1.29","1.77","2.06","1.39","1.11","2.47"
"902",="6667","信紘科","79.6","+1.5","+1.92","1.93","7.55","1.14","1.2","0.83","0.97","1.1","1.64","1.83","1.83","1.17","1.14","2.75"
"903",="1503","士電","119.5","0","0","1.74","1.47","0.52","2.46","0.93","2.51","0.98","2.23","0.86","2.7","0.79","1.13","4.3"
"904",="3034","聯詠","427.5","+0.5","+0.12","0.83","-0.53","-0.89","0.29","-0.11","0.42","0.39","1.33","1.63","5.17","-1.01","0.83","2.38"
"905",="6843","進典","67.1","-0.1","-0.15","1.25","","0.44","-0.37","1.83","1.06","3.64","0.53","3.04","2.68","0.25","-0.26","0.9"
"906",="6556","勝品","87.9","-0.4","-0.45","0.39","-1.38","0.2","-0.05","-0.54","0.13","0.13","1.57","2.74","5.41","-3.2","-1.43","1.08"
"907",="5243","乙盛-KY","66.1","-1.2","-1.78","0.15","-2.39","-2.07","0.51","-1.09","0.27","-0.84","0.78","3.3","3.7","-1.43","-1.4","2.43"
"908",="3059","華晶科","35.75","-0.2","-0.56","1.87","2.03","2.46","2","1.86","1.43","2.03","1.52","1.28","2.16","1.37","1.88","2.5"
"909",="2432","倚天酷碁-創","39.6","-0.4","-1","1.61","","","","0.88","","","1.18","2.72","","","0.17","3.07"
"910",="2357","華碩","403.5","+2.5","+0.62","1.84","3.72","2.19","1.12","1.75","3.12","1.24","2.19","0.39","2.91","0.7","1.52","1.23"
"911",="3044","健鼎","198","-1.5","-0.75","1.7","1.51","2.08","1.48","1.37","1.68","1.1","1.45","1.42","1.15","2.53","2.88","1.74"
"912",="3073","天方能源","30.55","0","0","-66.5","-15.9","-115","-27.6","-114","-444","-39.3","-18","-8.41","-12.2","22.9","-22.1","-3.95"
"913",="2344","華邦電","26.7","-0.2","-0.74","0.89","2.35","-0.5","-0.48","0.35","-0.68","-0.03","0.25","4.86","1","-0.37","1.11","2.76"
"914",="2301","光寶科","134.5","+0.5","+0.37","2.06","-0.18","1.63","8.96","3.23","0.84","-1.02","-0.79","1.45","2.07","3.53","2.4","2.6"
"915",="2454","聯發科","709","-8","-1.12","2.81","0.83","1.58","8.22","2.19","2.21","3.33","1.05","1.13","1.79","2.75","4.95","3.69"
"916",="6126","信音","31.95","-0.4","-1.24","0.15","-2.48","-2.54","0.84","-0.19","1.21","-0.68","1.21","3.67","2.63","-1.49","-1.07","0.67"
"917",="6271","同欣電","140","-4.5","-3.11","-0.44","-2.58","-2.94","0.85","-3.07","1.54","0.17","7.42","5.35","-1.47","-5.23","-0.13","-5.22"
"918",="1735","日勝化","16.55","0","0","-0.31","-5.14","-2.35","-0.54","-1.45","-0.76","-0.31","1.12","1.09","2.6","1.62","-0.89","1.26"
"919",="2480","敦陽科","116","-0.5","-0.43","1.08","0.7","1.09","0.41","0.67","0.86","0.39","0.92","0.82","3.32","1.23","1.12","1.41"
"920",="9960","邁達康","27.1","+0.25","+0.93","0.8","2.52","1.42","-0.9","-1.68","2.11","-0.1","3.02","-0.25","4.36","-0.89","2.5","-2.54"
"921",="1526","日馳","35.6","-0.4","-1.11","1.56","0.94","-1.99","0.28","-0.52","-0.28","-1.45","3.9","-0.68","0.86","2.77","1.63","13.2"
"922",="9927","泰銘","61.8","+0.1","+0.16","0.82","0.54","-0.04","-0.38","-0.57","0.65","-0.52","0.83","0.92","5.41","-1.31","0.31","3.94"
"923",="1736","喬山","78.7","+1.9","+2.47","0.9","0.2","-0.31","0.92","0.87","-0.7","-0.66","3.67","3.24","1.57","-0.84","-1.8","4.57"
"924",="8996","高力","304","-3","-0.98","-0.2","-1.33","-2.73","-1.5","-2.73","-0.71","-1.25","2.3","0.71","2.67","0.72","-0.62","2.08"
"925",="4138","曜亞","97","+1.3","+1.36","1.45","1.51","0.27","1.31","-0.15","3.8","0.51","1.38","1.17","3.38","0.43","1.84","2"
"926",="5245","智晶","39.4","+0.35","+0.9","1.27","-0.44","1.82","0.25","1.47","1.91","0.52","1.81","2.25","4.04","-2.63","2.06","2.2"
"927",="5392","能率","24.9","+0.1","+0.4","1.55","-2.07","1.36","3.76","1.17","-0.27","-0.42","1.97","4.13","2.94","-3.05","2.21","6.94"
"928",="5291","邑昇","27.6","+0.1","+0.36","0.07","-1.86","-2.78","-1.24","-1.25","1.28","0.08","2.02","1.93","3.63","-2.16","-0.95","2.17"
"929",="4173","久裕","21.75","+0.15","+0.69","1.15","0.13","0.47","0.19","0.11","0.18","5.15","0.2","5.61","0.45","0.05","0.3","0.92"
"930",="5007","三星","56.4","+0.4","+0.71","1.08","1.63","0.22","-0.8","0.78","0.9","0.81","1.41","1.38","3.39","-0.21","0.94","2.46"
"931",="4919","新唐","127","-0.5","-0.39","1.58","4.85","0.78","0.09","1.8","0.16","0.01","0.09","3.8","0.53","1.46","4.07","1.36"
"932",="1533","車王電","56.9","+0.9","+1.61","0.64","-3.06","1.09","-0.17","-1.31","3.01","-0.34","2.32","1.78","3.95","-1.75","-0.25","2.39"
"933",="2731","雄獅","131.5","+0.5","+0.38","9.32","11","11.6","19.5","39.2","22.7","-1.22","3.87","1.91","3.4","-0.42","0.11","0.36"
"934",="2515","中工","10.15","0","0","5.91","0.09","5.7","-0.91","-0.48","-1.52","61.9","9.21","2.74","-1.04","-3.31","-0.56","-0.88"
"935",="2707","晶華","221.5","+1","+0.45","16.3","1.15","2.29","3.61","9.64","165","3.36","1","5.05","0.72","0.35","-0.35","2.98"
"936",="3206","志豐","46.6","+0.1","+0.22","1.08","-1.54","-0.67","1.27","-0.05","2.16","0.3","1.04","2.71","3.37","-1.85","0.2","6.02"
"937",="6117","迎廣","37.35","-0.2","-0.53","-0.24","-1.38","-2.55","-0.64","-1.75","0.8","-0.83","1.35","3.25","3.8","-3.09","-2.41","0.62"
"938",="1473","台南","25.45","+0.35","+1.39","0.45","-0.59","-3.67","0.73","-0.94","1","0.65","1.35","2.24","3.02","-0.89","0.22","2.33"
"939",="2413","環科","28.7","-0.7","-2.38","0.7","0.19","-0.05","0.63","-3.36","-0.11","2.99","5.64","-0.6","4.32","-2.06","1.06","-0.23"
"940",="8213","志超","45.25","-0.9","-1.95","1.61","-0.08","0.29","0.77","0.16","0.56","11","1.21","2.19","2.62","-0.12","-0.43","1.15"
"941",="4561","健椿","29.25","+1","+3.54","0.28","2.03","1.47","-1.46","-1.53","-0.37","0.58","4.06","0.28","3.47","-2.69","0.12","-2.54"
"942",="3213","茂訊","73","-2","-2.67","6.05","-0.04","8.85","-3.16","57.1","0.42","2.02","1.62","2.22","1.76","0.27","0.13","1.39"
"943",="6416","瑞祺電通","81.3","-1.1","-1.33","0.81","-0.3","-0.43","-0.27","0.4","1.15","0.3","2.07","2.02","2.13","-0.35","0.06","2.95"
"944",="8933","愛地雅","10.05","-0.05","-0.5","0.62","-2","-1.41","-0.42","0.22","-0.02","-0.43","1.39","2.49","3.12","-1.31","0.79","5.07"
"945",="2402","毅嘉","43.75","-0.55","-1.24","0.85","0.17","-1.15","0.61","0.62","0.75","1.7","0.85","2.13","1.33","1.52","-0.19","1.8"
"946",="3294","英濟","18.65","-0.05","-0.27","0.69","-1.34","-0.94","-0.21","2.17","-0.48","1","0.7","2.56","1.66","1.17","1.15","0.89"
"947",="3229","晟鈦","14.25","+0.05","+0.35","-6.65","0.34","-78.8","9.17","-5.96","20.8","-33.4","3.25","4.31","6.08","-7.22","-0.16","1.74"
"948",="6425","易發","20.8","-0.05","-0.24","-0.35","-1.19","-1.94","-1.06","-2.88","0.59","-1.33","3.62","1.06","4.73","-3.83","-2.1","0.12"
"949",="6213","聯茂","90.6","-1.7","-1.84","0.81","1.56","2.68","-0.32","-0.24","-0.12","0.61","4.02","1.91","0.2","-1.06","0.1","0.42"
"950",="5009","榮剛","46.65","-0.6","-1.27","1.31","0.79","6.81","0.54","-2.08","-0.46","-0.49","0.13","1.12","3.88","0.37","2.25","2.79"
"951",="1474","弘裕","11.7","+0.25","+2.18","1.33","3.58","2.2","0.2","1.44","0.8","1.7","2.55","0.17","3.4","-0.75","0.95","-0.3"
"952",="3515","華擎","217","-4","-1.81","0.74","-0.16","-0.17","0.06","-0.27","0.35","-0.01","1.97","2.84","5.51","-3.11","0.16","1.7"
"953",="6129","普誠","29.7","-0.2","-0.67","2.75","1.6","5.83","2.49","6.33","-1.3","3.86","2.82","-0.01","2.69","0.48","3.07","5.21"
"954",="5281","大峽谷-KY","16.15","+0.05","+0.31","2.66","7.65","-8.48","2.37","3.11","3.13","1.89","6.36","4.93","-4.56","0","8.26","7.26"
"955",="5425","台半","84.7","-0.5","-0.59","0.76","-0.02","0.76","0.39","0.3","0.75","-0.24","1.58","1.65","3.35","-0.86","0.13","1.34"
"956",="2450","神腦","36.5","-0.2","-0.54","1.09","0.87","0.84","0.81","0.5","0.86","0.77","1.22","1.22","1.68","1.54","1.25","1.5"
"957",="4550","長佳","30.25","-0.3","-0.98","1.8","1.23","2.15","-0.07","2.85","2.02","5.51","1.76","0.31","1.82","1.88","0.83","1.29"
"958",="6239","力成","103.5","-1","-0.96","0.62","-0.22","-0.94","-0.11","0.19","0.31","0.41","1.09","1.67","3.45","-0.88","0.2","2.25"
"959",="3211","順達","81","-0.3","-0.37","5.28","-1.33","-1.72","0.27","1.83","1.65","50.6","-2.17","7.75","0.39","0.27","0.02","5.73"
"960",="1615","大山","35.55","+0.15","+0.42","0.94","0.99","0.27","-0.1","0.79","0.52","0.1","4.67","0.14","1.1","0.13","0.29","2.35"
"961",="2340","台亞","49.1","-0.35","-0.71","1.9","-1.7","-1.91","1.09","0.55","-0.17","-1.46","3.42","-1.47","5.19","-1.79","12.8","8.23"
"962",="5203","訊連","92","-2.8","-2.95","-12.7","-0.44","-7.72","2.99","1.87","3.45","-179","8.54","13.9","9.58","-25.3","6.96","12.5"
"963",="8089","康全電訊","18.5","0","0","0.16","-1.72","-2.54","-0.82","-1.32","0.58","-0.61","2.28","2.82","2.34","-1.75","-1.47","4.11"
"964",="4807","日成-KY","17.45","+0.05","+0.29","1","1.08","-4.53","4.07","-0.51","-0.12","1.57","2.15","4.48","2.13","-3.57","0.16","5.12"
"965",="6585","鼎基","94.8","-2.9","-2.97","0.33","-2.25","-3.93","1.34","-1.51","4.76","-0.36","2.78","1.97","2.71","-2.08","-0.35","0.9"
"966",="5206","坤悅","21","+0.45","+2.19","11","0.99","1.63","2.61","1.77","0.34","77.6","","27.1","0.47","1.43","-0.09","6.67"
"967",="3265","台星科","86.3","+0.9","+1.05","1.19","-0.14","-1.19","-0.57","-1.18","0.19","0.15","3.32","3.61","4.27","-6.61","3.32","9.07"
"968",="6803","崑鼎","319","+1.5","+0.47","1.47","1.45","1.38","0.95","1.37","2.7","0.45","0.59","0.99","1.51","2.35","1.21","2.66"
"969",="3118","進階","29.65","+0.05","+0.17","1.34","0.74","0.96","1.38","0.74","0.59","0.84","1.52","0.83","2.87","0.63","3.37","1.64"
"970",="4924","欣厚-KY","12.3","-0.05","-0.4","1.27","-1.2","0.29","2.14","3.77","1.69","2.6","0.49","3.35","5.72","-2.17","1.18","-2.58"
"971",="1784","訊聯","63","+0.2","+0.32","1.42","1.58","1.75","-0.7","1.32","1.99","1.76","2.46","0.49","1.78","0.91","2.74","0.97"
"972",="6104","創惟","117.5","+1","+0.86","0.1","-0.94","-1.5","-0.32","-1.28","-0.02","-0.42","1.79","1.81","3.22","-1.96","-0.77","1.53"
"973",="2911","麗嬰房","6.98","+0.01","+0.14","3.47","3.51","1.73","1.9","2.91","5.82","17.5","1.86","2.09","-0.18","1.79","2.35","0.28"
"974",="1609","大亞","35.95","-0.4","-1.1","4.25","1.57","3.45","3.07","0.88","-2.49","5.65","0.27","-3.03","4.63","4.02","27.5","5.53"
"975",="4190","佐登-KY","69.5","0","0","1.18","-1.07","0.65","-0.08","6.05","0.47","0.22","1.69","3.09","2.17","-0.82","1.07","0.75"
"976",="8929","富堡","20.6","-0.05","-0.24","0.51","1.96","5.6","0.98","0.93","-5.97","1.75","-1.26","2.06","3.86","1.33","-3.56","-1.58"
"977",="3689","湧德","60.1","-0.8","-1.31","1.18","1.08","0.86","0.17","1.29","0.64","1.21","1.79","2.08","2.49","-1.1","-0.21","3.8"
"978",="6505","台塑化","80.6","+1","+1.26","1.34","3.32","0.75","0.95","0.63","1.57","0.32","0.63","1.24","3.05","0.21","0.58","2.85"
"979",="5285","界霖","83.8","-0.6","-0.71","0.21","-2.81","-2.56","0.44","-1.21","0.35","-0.45","1.36","2.66","2.69","-1.76","-0.11","3.86"
"980",="2393","億光","47.5","-0.25","-0.52","1.3","0.81","1.33","0.9","0.42","1.04","-0.06","2.35","2.7","4.07","-4.34","1","5.35"
"981",="6263","普萊德","126.5","-1.5","-1.17","0.99","0.37","-0.48","0.06","0.53","1.1","0.95","1.31","1.71","1.9","0.61","2.07","1.69"
"982",="3128","昇銳","31.65","-0.85","-2.62","0.77","-0.32","0.11","0.05","-0.32","1.58","1.38","1.96","1.14","4.31","-1.69","0.07","0.96"
"983",="6605","帝寶","121","+1.5","+1.26","0.43","0.66","-0.37","-2.07","-2.57","-2.08","-0.51","4.84","-0.55","6.23","-4.99","-1.37","7.96"
"984",="1773","勝一","132.5","+2","+1.53","1.1","1.03","1.03","0.83","0.76","0.83","0.96","0.97","0.85","2.4","1.17","0.88","1.54"
"985",="2395","研華","345","+1","+0.29","0.94","1.55","-1.53","0.99","0.57","1.77","-0.19","0.96","0.18","3.16","0.8","1.03","1.99"
"986",="4535","至興","36.95","+0.25","+0.68","0.94","1.3","0.74","0.06","-0.46","0.9","0.95","1.47","1.24","2.37","0.18","0.92","1.64"
"987",="6806","森崴能源","98.3","-0.7","-0.71","8.11","25.2","70.9","-2.83","-3.41","0.22","-0.26","3.91","-0.58","4.52","0.38","-0.25","-0.48"
"988",="3437","榮創","17.65","0","0","1.02","1.89","-0.92","0.38","1.89","0.94","1.32","1.92","4.08","5.9","-9.82","3.74","0.89"
"989",="5011","久陽","20.45","-0.1","-0.49","0.5","-0.15","-1.3","-0.36","2.23","-1.04","-1.69","1.69","-0.44","2.82","1.11","0.55","2.6"
"990",="1707","葡萄王","156","-3","-1.89","1.18","0.85","0.67","1.3","0.62","1.15","1.18","1.27","1.21","1.33","1.4","1.46","1.66"
"991",="1513","中興電","107","-1.5","-1.38","-3.11","2.97","0.73","-0.65","-1.67","-0.35","-1.64","-0.16","1.85","1.85","1.71","-1.09","-40.9"
"992",="6113","亞矽","14.2","-0.1","-0.7","1.52","1.09","0.54","0.6","1.16","2.61","0.75","1.59","0.6","4.71","-1.91","2.11","4.38"
"993",="1796","金穎生技","90.6","-3.7","-3.92","-0.52","-3.26","-2.26","-1.24","-2.97","-1.41","-1.01","2.13","1.46","2.47","-0.7","-0.35","0.85"
"994",="2014","中鴻","23.05","-0.15","-0.65","1.06","1.29","0.98","-0.33","3.13","0.47","0.23","0.43","0.36","6.62","-0.68","0.14","0.04"
"995",="3587","閎康","300.5","-4.5","-1.48","0.89","0.78","0.93","-1.81","-0.22","0.17","5.04","1.15","0.88","2.27","0.83","0.04","0.67"
"996",="1721","三晃","13.15","0","0","0.95","-1.01","1.17","-0.65","7.6","-0.2","-0.5","1.22","2.57","4.63","-3.26","-1.42","1.19"
"997",="5210","寶碩","20.95","-0.2","-0.95","1.92","4.65","-7.13","6.33","0.85","10.4","6.59","0.36","2.35","1.9","0.42","-0.05","-3.6"
