"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"1348",="5383","金利","30.5","0","0","-0.19","-0.99","-1.38","1.09","-0.92","0.63","0.03","0.05","1.92","1.11","-2.34","-0.14","-1.32"
"1349",="2012","春雨","24.3","-0.1","-0.41","0.04","0.2","-0.08","-0.39","1.92","0.44","-1.35","-0.28","-0.45","1.13","0.31","-0.25","-0.73"
"1350",="6171","大城地產","21.65","+0.05","+0.23","114","1302","0.04","0.02","0.45","0.87","0.03","0.23","42.5","0.01","3.88","0.85","20.5"
"1351",="1614","三洋電","38.45","-0.3","-0.77","0.27","0.46","0.53","0.27","0.54","0.38","0.13","-0.2","-0.01","0.38","0.52","0.14","0.15"
"1352",="1785","光洋科","37","-0.2","-0.54","-0.25","-2.28","-4.33","-0.29","-0.13","0.73","-0.86","-0.91","0.63","4.53","-4.03","-0.49","4.43"
"1353",="3447","展達","42.7","-1.05","-2.4","0.32","","1.54","","0.41","-2.98","2.86","1.85","-3.77","2.09","0.72","0.3","0.18"
"1354",="4767","誠泰科技","28.25","+0.35","+1.25","-0.09","0.23","-0.85","-0.27","0.14","-0.04","-0.89","0.59","-0.53","0.93","-0.47","-0.35","0.47"
"1355",="2427","三商電","22.2","-0.55","-2.42","0.7","0.04","1.06","0.67","0.06","0.56","1.69","-0.07","-0.94","6.64","-2.95","-1.24","2.84"
"1356",="6186","新潤","51.6","-0.4","-0.77","4.39","2.79","0.19","0.12","0","0.19","-45.8","20.3","71.8","0.75","0.09","0.18","2.13"
"1357",="6689","伊雲谷","122.5","-0.5","-0.41","0.3","0.64","0.51","0.05","0.16","-0.04","0.11","-0.02","-0.06","-0.34","0.93","0.78","0.88"
"1358",="3002","歐格","12.9","-0.05","-0.39","2.69","7.46","4.21","9.3","4.39","4.4","4.03","-1.14","-6.76","1.52","8.63","-8.79","5"
"1359",="1460","宏遠","7.77","-0.03","-0.38","-0.58","-0.85","-3.62","-1.71","-1.27","-0.04","-0.32","-16.5","0.95","2.22","16.7","-3.68","1.15"
"1360",="6469","大樹","346.5","-3","-0.86","0.16","0.15","0.13","0.49","0.09","0.14","-0.04","0.31","0.19","0.16","-0.08","0.28","0.16"
"1361",="2324","仁寶","31.75","+0.35","+1.11","0.19","0.06","0.25","0.15","0.34","0.64","0.18","0.08","0.31","0.29","-0.15","-0.02","0.17"
"1362",="3266","昇陽","13.35","-0.05","-0.37","1.18","0.28","0.05","2.32","1.32","3.96","1.47","0.7","-0.5","3.77","-2.52","-0.82","4.15"
"1363",="6561","是方","362.5","+3.5","+0.97","-0.24","-0.75","-1.05","-0.54","-0.81","-0.1","-0.77","-0.11","0.15","1.31","-0.76","0.05","0.49"
"1364",="8442","威宏-KY","84","+0.5","+0.6","-0.38","-1.71","-2.59","0.28","0.66","0.93","-1.03","-0.4","0.7","0.99","-1","-2.2","0.8"
"1365",="4720","德淵","14.85","-0.05","-0.34","-0.03","-0.29","0.68","-0.1","-0.77","-0.96","0.33","0.95","-0.8","0.88","-0.47","-0.45","0.59"
"1366",="6690","安碁資訊","168.5","-1","-0.59","0.13","0.06","0.05","0.23","0.61","0.21","-0.06","-0.44","-0.26","0.36","0.69","-0.16","0.23"
"1367",="3093","港建*","32.05","+0.05","+0.16","-0.04","-0.58","3.49","-3.35","1.26","-0.62","-2.09","-0.1","-1.15","2.34","0.19","0.41","-0.26"
"1368",="1516","川飛","17.35","-0.25","-1.42","0.75","0.11","0.03","0.06","0.15","-0.1","6.92","0.14","-0.04","0.22","0.08","-0.48","1.91"
"1369",="3312","弘憶股","18.4","-0.1","-0.54","0.02","-0.13","-0.18","0.18","-0.2","0.04","0.15","0.29","0.28","0.49","-0.67","-0.58","0.6"
"1370",="5905","南仁湖","12.55","+0.25","+2.03","4.83","3.96","7.52","-0.44","9.41","26.4","4.07","-2.65","-5.32","0.72","6.04","2.12","6.08"
"1371",="2816","旺旺保","34.4","-0.6","-1.71","0.14","0.34","0.22","0.14","0.16","0.08","0.16","0.11","0.1","-0.01","0.21","0.07","0.07"
"1372",="6782","視陽","174.5","-5.5","-3.06","-0.56","","-3.01","-0.75","-1.16","2.89","-1.31","0.99","0.15","2.47","-3.26","-2.15","-1.07"
"1373",="3264","欣銓","65.8","+0.8","+1.23","0.37","-0.33","0.27","1.23","1.26","0.59","0.99","0.91","0.46","2.01","-2.88","-1.4","1.28"
"1374",="2356","英業達","54","-0.8","-1.46","0.28","0.53","0.15","0.38","0.16","1.4","0.23","0.61","-0.02","0.04","-0.22","-0.13","0.22"
"1375",="6776","展碁國際","56.4","+0.2","+0.36","0.23","0.37","0.37","0.3","0.87","0.33","0.33","0.05","0.09","0.51","-0.29","-0.2","0.01"
"1376",="3694","海華","33.1","+0.35","+1.07","0.18","-0.06","-0.23","-0.2","-0.19","-0.06","2.37","0.07","0.25","0.6","-0.76","-0.14","0.47"
"1377",="2033","佳大","14.1","-0.05","-0.35","0.27","1.23","0.22","-0.37","0.56","1.53","0.12","-0.34","-0.8","1.19","0.44","-0.06","-0.5"
"1378",="2850","新產","60","+0.6","+1.01","0.03","0.16","0.07","0.06","0.04","0.02","-0.32","0.03","0.11","0.07","0.07","0.03","0.01"
"1379",="3188","鑫龍騰","14.7","0","0","0.85","-1.96","-1.67","-0.67","-0.26","0.35","-1.55","0.39","10.8","","-0.14","0.13","3.93"
"1380",="9955","佳龍","21.8","-0.1","-0.46","-0.33","0.89","-0.77","-1.73","-1.05","-0.03","-0.11","0.76","-0.16","1.48","-2.1","-1","-0.17"
"1381",="2608","嘉里大榮","37.7","0","0","1.98","-0.65","0.8","-0.7","-0.06","-0.23","1.61","-0.12","1.14","-0.66","-0.14","-1.07","23.9"
"1382",="2247","汎德永業","307","-0.5","-0.16","0.06","-0.03","0.19","0.02","-0.02","0.01","0.11","0.01","0.06","0.04","0.12","0.05","0.11"
"1383",="5522","遠雄","56.8","-0.1","-0.18","0.22","-0.16","-0.14","-0.85","-1.39","-1.08","-0.15","0.08","0.77","-0.55","0.09","-0.23","6.19"
"1384",="2610","華航","22.7","-0.05","-0.22","-1.54","-2.01","-2.89","-3.1","-5.98","-2.42","-0.83","-0.2","-1.44","0.53","1.24","-0.23","-1.18"
"1385",="4304","勝昱","8.74","-0.01","-0.11","17.7","-8.14","3.6","0.54","-4.51","-3.62","224","3.09","0.01","-0.35","-0.88","-1.51","0.58"
"1386",="9949","琉園","13.35","+0.05","+0.38","1.44","3.79","4.35","-0.08","-0.86","9.48","0.53","3.63","-1.54","0.04","-1.47","0.33","-0.94"
"1387",="3122","笙泉","25.1","+0.2","+0.8","0.26","0.97","0.48","-0.62","2.98","0.49","0.2","1.04","1.98","4.2","-8.23","-1.29","0.91"
