"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"769",="5450","南良","12/25","17.8","-0.2","-1.11","0.06","0.74","0.1","1.25","0","0","0","0","0","0","0","0","0","0","0.6","0.65"
"770",="2482","連宇","12/25","41.05","-1","-2.38","0.19","2.3","0.16","1.97","0","0","0","0","0.15","0.32","0","0","0","0","0","1.5"
"771",="8183","精星","12/25","52.2","-0.3","-0.57","1.3","15.63","0.48","5.76","0","0","0","0.25","0","0.3","0.4","0.4","0.45","0.8","1.26","1.9"
"772",="9943","好樂迪","12/25","90.7","-0.1","-0.11","4.32","51.82","3.68","44.1","3","3","4","4","4","4","4","5.4","4.9","4","0.5","3.3"
"773",="2527","宏璟","12/25","27.5","-0.1","-0.36","1.98","23.72","1.24","14.85","0.8","0.65","0.8","1.5","1.1","0.8","0.8","1.2","1.8","1.4","3","1"
"774",="5474","聰泰","12/25","104.5","0","0","6.46","77.58","3.57","42.78","0","0.8","2.5","3.5","4.2","3.3","3.3","3.8","4.58","8","5","3.8"
"775",="6279","胡連","12/25","154","0","0","7.17","86.04","4.92","59","2.9","3.3","6","5.6","5.6","6","8","4","3","4","5","5.6"
"776",="8147","正淩","12/25","73.1","-0.4","-0.54","1.84","22.1","1.17","14.08","0.5","0.5","0.5","1.84","2","2","2","0.55","0","0.5","1.04","2.66"
"777",="2338","光罩","12/25","68.8","-0.5","-0.72","1.3","15.61","0.88","10.61","1.01","0.37","0.6","0.5","0.3","0","0","0.83","1","1.5","2","2.5"
"778",="2642","宅配通","12/25","41.3","-0.1","-0.24","1.71","18.81","1.14","12.5","","0.6","1.5","1.1","0.6","0.45","1.05","0.6","1.2","1.8","2.1","1.5"
"779",="1215","卜蜂","12/25","96.5","-0.5","-0.52","3.78","45.3","2.41","28.9","0.3","0.8","0.8","1","2","3","3","3","4","4.5","3","3.5"
"780",="3444","利機","12/25","105","+1","+0.96","2.03","24.32","1.48","17.8","1.5","0.9","0.7","1","1","1","1","1","1.8","1.8","2.3","3.8"
"781",="6213","聯茂","12/25","82.9","+0.5","+0.61","4.71","56.57","3.03","36.42","1.5","2.5","2.2","1.22","1.6","2.5","3.1","3.8","5","5","5","3"
"782",="6509","聚和","12/25","38.15","-0.3","-0.78","1.14","13.64","0.65","7.76","0.1","0.3","0.5","0.41","0.61","0.51","0.4","0.6","0.71","1","1.25","1.38"
"783","1101B","台泥乙特","12/25","48.45","-0.05","-0.1","","","1.42","7.09","","","","","","","","0.09","1.75","1.75","1.75","1.75"
"784",="1733","五鼎","12/25","38.8","+2.45","+6.74","2.32","27.9","2.19","26.28","4.99","4.5","3.3","2.5","2.24","1.5","1.5","0.85","1.11","1.09","1.3","1.4"
